title,icon,installs,reviews,size,content_rating,free,price,iap,android_version,len_title,main_category,category,iap_min,iap_max,updateDays,rating_class,rating
Pregnancy +,https://lh3.googleusercontent.com/FUWnSyQx6nj0zENolF-dUtD7hPmF8qCFu6CuaXY2PNNV7o8jX07PZUDuB1B3L-6yzMWz,10000000,532606,15.630769230769232,1,1,0.0,1,0,11,22,PARENTING,0.99,99.99,-9,1,4.7
Ants on screen funny joke,https://lh3.googleusercontent.com/pQkuktd4q2nF1UoOfZLhE2bYqffYhXDwHptMYv9FcUYKE5vI23IM78e3CgQUWxNB0u8,5000000,37495,25.194680851063833,1,1,0.0,1,2,25,9,ENTERTAINMENT,0.99,99.99,-210,0,4.3
"My Internet - Private, Secret and Fast",https://lh3.googleusercontent.com/Z5YYTqok_b-xUnCcWMUu0294FnBO3UWTRgEY12LRHfZehtQnWIg40JIYJdgpDNIDOA,1000000,10386,25.194680851063833,1,1,0.0,0,2,38,9,ENTERTAINMENT,0.0,0.0,-271,0,4.2
Internet Speed Meter Lite,https://lh3.googleusercontent.com/Tlwdc9yeq7ru5AI9YOF_RHIFZO-a0ww6NA04c6FxXxHWFAKS8j_WwAukHJLUi1CIYZE,10000000,522298,10.993586956521739,1,1,0.0,0,0,25,29,TOOLS,0.0,0.0,-1159,0,4.3
Soothing sleep sounds,https://lh3.googleusercontent.com/8Qp5quMTzCf3FqfIz_r_sTl1DOw9QBZ7ir88SsxZllAOEIidMQr81ibhwW3orkrFWnd4,500000,6399,41.0,1,1,0.0,1,3,21,19,MEDICAL,1.99,5.99,-14,1,4.5
Top,https://lh3.googleusercontent.com/hMNDZXCavtHsH8yH6cfVxZo8H-S3HOZS2HnNSLnxFL8r0PFBrATZC6IaNlAEHrPvffgU,1000000,24730,19.0,1,1,0.0,0,3,3,4,BUSINESS,0.0,0.0,-8,1,4.4
EyeEm: Free Photo App For Sharing & Selling Images,https://lh3.googleusercontent.com/v1Eh8qzDdPSHgPp2NINY1b3UcBh4lTRM6ELvpqPk0EmvAkU4z6cVrmVVBRNKMY1xc9c,10000000,216588,24.0,1,1,0.0,0,1,50,24,PHOTOGRAPHY,0.0,0.0,-67,1,4.4
Impots.gouv,https://lh3.googleusercontent.com/O0ITR0OcXkMjiudExAJSF5mMK-CqH-pQyn5r9p-pp-yp3CCrgdybw-QQww53-7Y2FtQ,1000000,6338,7.0,1,1,0.0,0,3,11,11,FINANCE,0.0,0.0,-102,0,3.7
The League,https://lh3.googleusercontent.com/N7zNWm0A0rNJmtxZFXXQ4Iqq_hMOxcjOLJhJy5TiI-YuAPxgP9EOyaH9BNYACagsfw,100000,3249,34.0,3,1,0.0,1,3,10,7,DATING,4.99,399.99,-2,0,2.6
Camera MX - Photo & Video Camera,https://lh3.googleusercontent.com/1DBDs1_DZKKYRXY5laDmsHvmAOT_VEszuSAkXS2-7cb57qPhOvkWDnM-8YYpVTqSZQ4,10000000,278310,25.74569072164949,1,1,0.0,1,1,32,24,PHOTOGRAPHY,0.99,1.99,-28,1,4.4
NH Smart Banking,https://lh3.googleusercontent.com/OCmWlf8zD6CHfXuBhwsxlVpYl0iXAXqxdkDO4jd4I7yhUnmfFLEEYLjMxNxWRg5baCE,5000000,12800,64.0,1,1,0.0,0,3,16,11,FINANCE,0.0,0.0,-3,0,4.0
Adobe Scan: PDF & Business Card Scanner with OCR,https://lh3.googleusercontent.com/P4aN1y8sGb55PLT4rhRwhgIenzY82LERHyCWQroXy1bL5P9BYwF9xu5BREvPiKigp6JQ,10000000,350998,22.59268292682927,1,1,0.0,0,3,48,4,BUSINESS,0.0,0.0,-11,1,4.7
"Curable: Back Pain, Migraine & Chronic Pain Relief",https://lh3.googleusercontent.com/2Qwouo7r4GGk-eRNxJD33bXFVd1OGc_pfKxCMLcQra5WvbL9G_n34THjcE4pNZaK4wqR,10000,175,0.344,1,1,0.0,1,3,50,19,MEDICAL,14.99,299.99,-367,0,3.5
McDonald's,https://lh3.googleusercontent.com/J5eTDcbu46o_ffTG39aXkuO2BKDtVMln570u7xn_z0MeR_UHtAW7YVUbpix1aJYe4g,10000000,153601,31.0,1,1,0.0,0,3,10,12,FOOD_AND_DRINK,0.0,0.0,-1,0,3.7
YouTube Studio,https://lh3.googleusercontent.com/-OeGNozxvw9RMFUP-9x_qscnCRsz6y4HI2b0JqzkNX7UNcZqR-zdHtg3Ng5zQHqRlw,50000000,632288,22.02707547169811,4,1,0.0,0,1,14,31,VIDEO_PLAYERS,0.0,0.0,-8,1,4.4
Coupon Sherpa,https://lh3.googleusercontent.com/w5orZdL5cFBY0Yc2kVBztArUtQMShVWaR0UD2J-y0GE9qRd33UDo0-gB3ny2o7fwNA,500000,7743,29.649494949494947,1,1,0.0,0,2,13,26,SHOPPING,0.0,0.0,-4,1,4.4
Free Dating App & Flirt Chat - Match with Singles,https://lh3.googleusercontent.com/GoZDXLkRmFuMwTtySFAW5DfUuxHfSCJHYaG_qnxV0LOmBrPVtms1-RySJwz43nqtWQo,10000000,289393,4.4,3,1,0.0,0,3,49,7,DATING,0.0,0.0,0,0,4.3
Photo Collage,https://lh3.googleusercontent.com/fhE3SPNhVaiFCZCtHzrL6OafcgzSBoLmp_W03d35R5pZPZ_Fsv6SOrz4URgf5zx_UdZ2,1000000,10679,11.0,3,1,0.0,1,1,13,27,SOCIAL,0.99,99.99,-55,1,4.5
Simple - Mobile Banking and Budgeting App,https://lh3.googleusercontent.com/wsWEfq0doeJHc2YNds295GzcYhj51K9RgD5nSXAKQ-qbQB4Urq-T6btr3j2_9dHuRyQ,500000,9145,21.0,1,1,0.0,0,3,41,11,FINANCE,0.0,0.0,-4,0,4.0
2RedBeans,https://lh3.googleusercontent.com/PNYGK89WuS5jgy87m-NvXjbO7OOtUFWWT_lCb-aRqW_r8ol3cUWQ1pf7K3ozM-_AIK9O,50000,596,17.0,3,1,0.0,1,3,9,7,DATING,0.99,239.99,-18,0,3.2
Plex,https://lh3.googleusercontent.com/-PbN6troneoQjhH839rZA3p-yIXYneJkIT8j7Z--F97MAONmt04VfiiAd6ZRvZHy,10000000,143822,22.02707547169811,1,1,0.0,1,1,4,31,VIDEO_PLAYERS,0.99,149.99,-14,0,3.9
SoundCloud - Music & Audio,https://lh3.googleusercontent.com/lvYCdrPNFU0Ar_lXln3JShoE-NaYF_V-DNlp4eLRZhUVkj00wAseSIm-60OoCKznpw,100000000,4158954,21.0,4,1,0.0,0,1,26,20,MUSIC_AND_AUDIO,0.0,0.0,-4,1,4.6
X Gram | ضد فیلتر | بدون فیلتر,https://lh3.googleusercontent.com/0wcTVkrGozmjKHT-SK644w1DNa02mox57HtERZ91uQLsqc7AoVYMaYbg1Hq6tj0iurM,50000,2085,21.0,4,1,0.0,0,1,30,6,COMMUNICATION,0.0,0.0,-1,1,4.6
ABC News - US & World News,https://lh3.googleusercontent.com/VLAqGQWkvx6lt3UdBYuUjMGq3_lB2GzXi_MoKdZQKLLy1KzKlqrvfZ-d9rU-deudBA,5000000,21108,36.0,2,1,0.0,0,1,26,21,NEWS_AND_MAGAZINES,0.0,0.0,-4,0,4.1
Northern Lights FREE (Aurora),https://lh3.googleusercontent.com/u-IivLajdur0OM0GxmjpL3KKyLF5a9_ivSpbyCpMbitXgqsyRyBn5eOTAI07AeUBIzU,1000000,12063,5.4,1,1,0.0,0,1,29,23,PERSONALIZATION,0.0,0.0,-1049,1,4.5
GS SHOP,https://lh3.googleusercontent.com/kVH0CXlJ9n7nPP7vsr4nWXwBfI-Wsn_sHHJ-E-eJW98C-RTNkNv00uNSAu9n57pKLb4,10000000,53954,22.0,1,1,0.0,0,2,7,26,SHOPPING,0.0,0.0,-4,0,4.3
Blood Pressure Companion,https://lh3.googleusercontent.com/rCD5LJvdPHgtD6ItaEi372-k7xsm4XVLlCNdF_MzStU22QL7OFPTOTN9c4Dn77ZdJA,5000,197,5.2,1,0,0.99,1,3,24,19,MEDICAL,0.99,99.99,-235,0,4.1
NCAA March Madness Live,https://lh3.googleusercontent.com/Vo7mG7EULmw_slwsJVbz-2hZJqnvanQzFduRvF3BHKXf0f_SbieawUkA4ibD8uUvrbww,5000000,35312,35.0,1,1,0.0,0,3,23,28,SPORTS,0.0,0.0,-224,0,3.9
Moodpath - Depression & Anxiety Test,https://lh3.googleusercontent.com/eBFHYQ8Ri1K8OUaQm41tyXVZyb2EJ5U0cMzWCFhv8wt65AEk3Yoqum_WuXDFpBKOqXk,500000,20231,13.0,1,1,0.0,1,3,36,19,MEDICAL,6.49,84.99,-52,1,4.6
"Ginger Keyboard - Emoji, GIFs, Themes & Games",https://lh3.googleusercontent.com/eETw0JKoVoOGqFn1WyDyMxmvy9WjJTK8SDmgIxEQ0ujSWb0M9WlESHnvwa04o6ogxyA,5000000,170283,44.0,1,1,0.0,1,1,45,25,PRODUCTIVITY,0.99,14.99,-96,1,4.5
Citizens Bank Mobile Banking,https://lh3.googleusercontent.com/48DcPiXatWDOFG6mx78Gr1wn733HBRPynuo8fm5jXO4BZ7Avpg2jS5oNP14I7pJnNL8,1000000,22973,41.0,1,1,0.0,0,3,28,11,FINANCE,0.0,0.0,-11,0,3.2
